doc_id	phenotype	n_patients
PMC7477955	clinical seizures	7
PMC7477955	subclinical seizures	1
PMC4243708	hypotonia	8
PMC4243708	global developmental delay	8
PMC4243708	movement disorder	8
PMC4243708	hypo- or alacrima	7
PMC4243708	abnormal brain imaging	7
PMC4243708	EEG abnormalities	7
PMC4243708	elevated liver transaminases	6
PMC4243708	microcephaly	6
PMC4243708	diminished reflexes	6
PMC4243708	hepatocyte cytoplasmic storage material or vacuolization	5
PMC4243708	seizures	4
PMC4243708	abnormal nerve conduction	3
PMC4243708	elevated AFP	3
PMC4243708	constipation	8
PMC4243708	movement disorder	8
PMC7477955	white matter lesions in brain MRI	2
PMC7477955	cerebral atrophy	2
PMC7477955	prominent ventricles	1
PMC7477955	high position of the cerebellar tonsils	1
PMC7477955	large foramen of Magendie and cisterna magna	1
PMC4243708	hereditary spastic paraplegia	1
PMC7477955	mild range	3
PMC7477955	moderate range	2
PMC7477955	severe range	6
PMC7477955	lumbar puncture	9
PMC4243708	liver storage	3
PMC4243708	vacuolization	2
PMC7477955	acidic gastric pH	5
PMC4243708	c.1201A>T (p.R401X) mutation	5
PMC4243708	liver storage or vacuolization	5
PMC7477955	normal abdominal ultrasounds	6
PMC4243708	profound intellectual disability	8
PMC4243708	developmental regression	8
PMC4243708	multiple contractures	8
PMC7477955	NGLY1 deficiency	6
PMC4243708	decreased DTRs	6
PMC4243708	alacrima/hypolacrima	8
PMC7477955	coxa valga	11
PMC7477955	scoliosis	6
PMC7477955	growth arrest lines or metaphyseal banding without palmidronate treatment	4
PMC7477955	dislocations or subluxations involving the hips and shoulder joints	3
PMC7477955	sclerosis of the phalanges or tarsal bones	2
PMC4243708	corneal ulcerations/scarring	4
PMC4243708	lactic acidosis	1
PMC4243708	peripheral neuropathy	2
PMC7477955	out of range elevations in antibody titers towards rubella and/or rubeola following MMR vaccination	7
PMC4243708	EEG abnormalities	8
PMC7477955	obstructive sleep apnea	2
PMC7477955	central sleep apnea	1
PMC7477955	combined obstructive and central sleep apnea	2
PMC7477955	frequent periodic limb movements	5
PMC7477955	heart rates in the low 100s	12
PMC7477955	QTcB >440 ms	2
PMC7477955	NGLY1-CDDG	11
PMC7477955	hypotonic facies	11
PMC7477955	low weight	11
PMC7477955	thin facies	11
PMC7477955	hollowed cheeks	11
PMC7477955	visible zygomatic arches	11
PMC7477955	Oral motor deficits	10
PMC7477955	persistent nutritive suckle swallow	10
PMC7477955	poor oral bolus formation	10
PMC7477955	Premature spillage	11
PMC7477955	pharyngeal swallow response delays	11
PMC7477955	Generalized weakness of the lips and tongue	11
PMC7477955	Dystonic movements of the tongue	11
PMC7477955	persistent oral reflexes of suckling and suck/swallows	11
PMC7477955	hypo- or complete alacrima	11
PMC7477955	Pigmentary changes	11
PMC7477955	pigment granularity	11
PMC7477955	pigmentary retinopathy or pigmentary changes	11
PMC7477955	blonde or poorly pigmented retinal periphery	11
PMC7477955	refractive errors	11
PMC4243708	microcephaly	6
PMC7477955	joint hypermobility	11
PMC4243708	global developmental delay	8
PMC4243708	movement disorder	8
PMC4243708	hypotonia	8
PMC4243708	hypo- or alacrima	7
PMC4243708	elevated liver transaminases	6
PMC4243708	diminished reflexes	6
PMC4243708	hepatocyte cytoplasmic storage material or vacuolization	5
PMC4243708	seizures	4
PMC7477955	axonal sensorimotor polyneuropathy	8
PMC7477955	demyelinative features	6
PMC7477955	Delayed myelination	3
PMC7477955	optic atrophy and retinal pigmentary changes/cone dystrophy	12
PMC7477955	delayed bone age	12
PMC7477955	joint hypermobility	12
PMC7477955	lower than predicted resting energy expenditure	12
PMC7477955	decreased tear production	12
PMC7477955	transient transaminitis	12
PMC7477955	small feet	12
PMC7477955	complex hyperkinetic movement disorder	12
PMC7477955	global developmental delay with relatively preserved socialization	12
PMC7477955	neurogenic findings	9
PMC7477955	common mutation c.1201A>T	5
PMC7477955	Circulating proteins were normal or borderline low	11
PMC4243708	global developmental delay	8
PMC4243708	brain imaging abnormalities	6
PMC4243708	neonatal jaundice	4
PMC4243708	IUGR	5
PMC4243708	seizures	4
PMC4243708	small hands/feet	4
PMC7477955	Bone age was delayed	8
PMC7477955	N-acetylaspartylglutamate + N-acetylaspartate (NAA) was lower than normal	12
PMC7477955	deficit of glutamine + glutamate + gamma-aminotransferase (Glx)	12
PMC7477955	Choline was higher than expected for age	12
PMC7477955	myo-inositol was higher than expected for age	12
PMC7477955	Individuals grew poorly after mid-childhood	12
PMC7477955	qualitatively-evident cerebral atrophy	6
PMC7477955	Elevations in aspartate aminotransferase (AST) and/or alanine transaminase (ALT)	8
PMC7477955	NGLY1-CDDG is a progressive disorder	12
PMC7477955	peripheral neuropathy	12
PMC7477955	auditory neural dysfunction	12
PMC7477955	scoliosis	12
PMC7477955	inability to maintain weight	12
PMC7477955	brain atrophy on MRI	12
PMC7477955	abnormalities in brain metabolites measured on MRS	12
PMC7477955	CSF neurotransmitter levels	12
PMC7477955	Hypolacrima	12
PMC7477955	hepatopathy	12
PMC7477955	hyperkinetic movement disorder	12
PMC7477955	total foot length was < 3rd percentile	12
PMC4243708	ocular apraxia	4
PMC4243708	chalazions	4
PMC4243708	dysmorphic features	4
PMC7477955	developmental delay or intellectual disability	12
PMC7477955	IQ below average	2
PMC7477955	range of intellectual disability	9
PMC7477955	nonverbal	7
PMC7477955	used only single words	1
PMC7477955	phrase speech	1
PMC7477955	Lagophthalmous	11
PMC7477955	ptosis	11
PMC7477955	exotropia and/or esotropia	11
PMC7477955	corneal neovascularization	11
PMC7477955	pannus formation or scarring	11
PMC7477955	optic nerve pallor or atrophy	11
PMC7477955	retinal	11
PMC7477955	Fibroscan scores above 7 kPa	3
PMC7477955	normal hearing sensitivity	3
PMC7477955	auditory neural pathway dysfunction without peripheral hearing loss	11
PMC7477955	low femoral bone density	9
PMC4243708	liver fibrosis	2
PMC7477955	abnormal QSWEATs	8
PMC7477955	axonal sensorimotor neuropathies	8
PMC7477955	evaluated using the Nijmegen Pediatric CDG Severity scale	11
PMC4243708	elevated liver transaminases	7
PMC4243708	axonal loss and gliosis in the brains suggestive of HIE	1
PMC4243708	peripheral neuropathy	1
PMC4243708	scoliosis	4
PMC7477955	developmental delay/intellectual disability	1
PMC7477955	hyperkinetic movement disorder	1
PMC7477955	hypolacrima	1
PMC7477955	history of elevated transaminases during early childhood	1
PMC7477955	Resting energy expenditure was close to 100% of expected	3
PMC7477955	Resting energy expenditure ranged from 51% to 82% of predicted	9
PMC7477955	constipation	10
